element,sp_num,obs_wl_air(A),intens,Aki(s^-1),Acc,Type,
K,1,8925.44,4,4.77e+04,B+,,
Ca,2,8927.36,110,,,,
Na,1,8942.96,2*,3.71e+05,C',,
Na,1,8942.96,2*,2.47e+04,C',,
Ca,1,8967.47,12,,,,
Ca,1,9099.10,16,,,,
Ca,1,9105.62,13,,,,
Ca,1,9108.82,12,,,,
Na,1,9153.88,4*,5.3e+05,C',,
Na,1,9153.88,4*,3.5e+04,C',,
Ca,1,9171.14,10,,,,
Ca,2,9213.90,110,,,,
Ca,2,9312.00,90,,,,
Ca,2,9319.56,100,,,,
Ca,2,9320.65,110,,,,
K,1,9347.24,7,1.135e+05,A+,,
K,1,9349.25,3,1.266e+04,A+,,
K,1,9351.59,6,1.244e+05,A+,,
Ca,1,9416.97,25,,,,
Ca,1,9456.80,10,,,,
Na,1,9465.94,6*,9.57e+05,B+,,
Na,1,9465.94,6*,6.38e+04,B+,,
Ca,1,9534.88,10,,,,
Ca,1,9548.38,11,,,,
Ca,2,9567.97,100,,,,
K,1,9595.70,15bl*,3.449e+06,AA,,
K,1,9595.70,15bl*,2.294e+05,AA,,
K,1,9597.83,14,3.207e+06,AA,,
Ca,2,9599.24,110,,,,
Ca,2,9601.82,80,,,,
Ca,1,9604.28,10,,,,
Ca,1,9663.65,12,,,,
Ca,1,9664.41,10,,,,
Ca,1,9676.30,14,,,,
Ca,1,9688.67,14,,,,
Ca,1,9701.94,13,,,,
Ca,2,9854.74,80,1.9e+07,D,,
Ca,2,9890.63,110,,,,
Ca,2,9931.39,90,3.8e+07,D,,
K,1,9949.67,6,1.24e+05,B+,,
K,1,9954.14,5,1.15e+05,B+,,
Na,1,9961.28,7*,1.27e+06,A,,
Na,1,9961.28,7*,8.45e+04,B+,,
Ca,2,10223.04,100,,,,
Ca,1,10343.81,20,,,,
