# Observation date	Start [Å]	End [Å]	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2016-08-07T02:40:04.759000	7561.604702062331	7562.404556752228	[7562.04259975,7561.90462941,7561.90523182]	[0.69876111,0.5160504 ,0.14148876]	[0.0551632 ,0.04579451,1.96236487]	[0.19537239,0.22901276,1.22707417]	0.07518563733491952	4.621016139012771	0.3252099334448813
2016-08-07T02:40:04.759000	7832.995398344125	7833.595289361547	[7833.37727349,7833.39534385,7833.19534385]	[0.20213802,0.17436962,0.61387514]	[0.04945747,0.03745801,0.05223117]	[ 2.       ,-2.       , 0.1011523]	0.06863056132137507	0.12299500677471542	0.2755593337289504
2016-08-07T02:40:04.759000	8439.185271449238	8440.065111608124	[8439.66432874,8439.60771723,8439.67265932]	[0.24699651,0.25562344,0.06766267]	[0.02350426,0.01765464,0.09778864]	[ 0.02443046, 0.00293366,-1.99999999]	0.284045330089448	0.2302746416572188	0.10089812234116265
2016-07-28T03:04:32.515000	6698.488070811978	6699.0479780008145	[6698.66802441,6698.86802441,6698.77808761]	[0.12629598,0.08235773,0.41936266]	[0.23210841,0.19573029,0.05487173]	[ 1.99999998,-1.99784966, 0.04722664]	0.15948284574224447	0.546573544304251	0.17123341826091099
2016-07-28T03:04:32.515000	7560.805131675871	7563.324714025634	[7561.96492285,7562.16492238,7561.96492285]	[0.11828306,0.46460262,0.3752876 ]	[0.17129165,0.13338542,2.        ]	[2.        ,0.27726367,0.83849888]	0.1381121445111104	4.709640090061898	1.3293927202452096
2016-07-28T03:04:32.515000	7721.698461725054	7722.25836891389	[7722.07841026,7721.9696063 ,7721.87841532]	[0.62158371,0.84662422,0.11733968]	[0.03066459,0.03732583,0.1832644 ]	[-0.45042063,-0.25313703, 1.99976467]	0.13045531301241417	0.4315546835082026	0.23888547185456396
2016-07-28T03:04:32.515000	7832.480098373384	7833.279965786008	[7832.98003208,7832.78003213,7832.98003208]	[0.30049488,0.12205129,0.16160747]	[0.10735443,0.31093977,0.3806325 ]	[ 1.35893762, 1.9990195 ,-2.        ]	0.18810120758953977	0.8963210323685556	0.40682598555646254
2016-07-28T03:04:32.515000	7833.060002247536	7833.739889548266	[7833.45242723]	[0.77159007]	[0.1108195]	[0.5565726]	0.1651162502182382	0.2609599709358084	0.32182544857126993
2016-07-28T03:04:32.515000	8025.408118298131	8027.487773570951	[8026.54794593,8026.54794593,8026.54794593]	[1.25705767e-01,1.70616848e-15,2.45962949e-01]	[0.97776406,1.25826358,0.33919661]	[-1.99999994,-1.67205138, 1.43953931]	0.21704582903767558	2.9629842890784737	0.8311791605909942
2016-08-07T01:53:44.897000	4681.83082773077	4683.270566702275	[4682.48177801,4682.46660817]	[0.29123056,0.50553499]	[0.13545279,0.12129996]	[ 1.35232331,-0.96818124]	0.04998671583095927	0.31896695619567933	0.5175377485489266
2016-08-07T01:53:44.897000	4687.889729235853	4689.009526213691	[4688.38775156,4688.42467298,4688.48070891]	[0.17904464,0.139373  ,0.65319405]	[0.11192357,0.79367513,0.06780721]	[ 1.83947314,-0.07907185, 0.33958456]	0.06931146837153425	1.8689621045440046	0.48042367916793577
2016-08-07T01:53:44.897000	4721.863569688452	4729.8621195301475	[4725.93255438,4725.96284461,4725.76284461]	[0.0385951 ,0.13521394,0.82468384]	[0.95310745,0.97778964,0.39521578]	[ 2.        ,-2.        , 0.12220213]	0.024253527605842366	2.30251863984659	2.813841728140022
2016-07-28T03:04:39.058000	4681.903085975476	4683.262860428999	[4682.51079427,4682.68265611,4682.51224273]	[0.31425939,0.05440593,0.45172746]	[0.12043663,0.47669538,0.10905543]	[ 1.32616126,-0.92229178,-0.96056678]	0.07087522142801167	1.1225318291896553	0.5164844000940748
2016-07-28T03:04:39.058000	4962.456550430389	4964.216258546713	[4963.43640449,4963.23640449,4963.31790031]	[0.23625665,0.42707263,0.11550978]	[0.08973088,0.25210979,0.12948307]	[ 0.72526598,-0.82222977, 1.99998851]	0.03698128076854963	0.5936731958459829	0.6995093182981899
