# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-09-20T01:47:39.845000	[6520.12571411,6520.36381997,6520.7636961 ]	[0.02258554,0.02316357,0.00990954]	[0.07578461,0.09558174,0.08978463]	[ 0.13356562,-0.33359236, 0.30320298]	0.0013806944948074062	0.2250777927187963	0.017150472419109587
2015-09-20T01:47:39.845000	[6460.13001623,6460.29016006,6460.50090801]	[0.00811261,0.00126698,0.00018562]	[2.94026257e-05,6.04816190e-03,1.17914707e-04]	[-0.18979086, 0.98164524,-0.75860808]	0.023684876681361215	0.014242332882909776	2.8338485474298e-05
2015-09-20T01:47:39.845000	[5821.2]	[0.1]	[0.1]	[2.]	0.0023604048345697666	0.23548200450309495	0.0
2015-09-20T01:47:39.845000	[6287.24716871,6287.48055725,6287.38613956]	[0.02049237,0.017304  ,0.0851924 ]	[0.03437664,0.03527964,0.03016464]	[-0.15107712,-0.04949576, 1.27387622]	0.0019462251381136633	0.08307720538557058	0.019964252945738194
2015-09-20T01:47:39.845000	[6379.23658234,6379.22987454,6379.22425   ]	[1.71624715e-01,5.71551255e-02,3.11996653e-05]	[0.07281275,0.2009878 ,0.10382501]	[0.21624941,1.52016444,7.92815531]	0.0015517295991964223	0.47329010240284325	0.1386813703355062
2015-09-20T01:47:39.845000	[5990.5      ,5990.5      ,5990.1803504]	[2.10556100e-03,1.79269911e-02,1.03818009e-05]	[9.71207112,1.73524869,0.02203695]	[ 3.12847581, 0.6587373 ,-6.93270254]	0.011530907873375107	22.870179749176994	0.5799029340807998
2015-09-20T01:47:39.845000	[5922.10060122,5922.13776731,5922.18250699]	[0.04410428,0.08700804,0.02417611]	[0.01095315,0.01157065,0.01147274]	[-0.40230764,-0.16105578, 0.54510387]	0.002958160524612142	0.02724680234856868	0.0065091642489263826
2015-09-20T01:47:39.845000	[6112.86626679,6112.49214085,6113.21208718]	[0.00508772,0.0038349 ,0.02057813]	[0.03142488,0.0982719 ,0.19783577]	[-0.07988056, 0.25021362, 1.15512218]	0.001241661574372905	0.46586764636354605	0.023383202799927318
2015-09-20T01:47:39.845000	[6233.90545884,6233.63915176,6234.12115201]	[0.01985402,0.01764184,0.00265047]	[0.07373737,0.10667416,0.02461084]	[-0.37996776,-0.52442005,-0.42225526]	0.0007799413028009084	0.2511984600919637	0.012900579451110719
2015-09-20T01:47:39.845000	[6415.09999985,6414.02713965,6413.69932684]	[0.01604272,0.0110257 ,0.00490219]	[6.07743093,0.10250103,0.04935071]	[0.27208009,0.52771182,0.02858153]	0.004808814393886838	14.311256174754108	0.3359678402856805
2015-09-20T01:47:39.845000	[6107.99388273,6107.78598659,6107.61557766]	[0.01252969,0.00505359,0.00286102]	[0.10336049,0.03586016,0.03456727]	[ 0.94351341, 0.21859667,-0.24141228]	0.0010008162581498306	0.243395344108393	0.0070742045458091094
2015-09-20T01:47:39.845000	[6089.89113681,6089.48707743,6089.73164213]	[0.02809226,0.05608603,0.01680714]	[0.07096501,0.11390194,0.04461096]	[ 0.58873755,-0.6098328 ,-0.25519727]	0.0009253546261906504	0.268218569428714	0.03629512923371188
2015-09-20T01:47:39.845000	[6226.32668454,6226.19187607,6225.96418188]	[0.00358085,0.00339354,0.01648677]	[0.10771744,0.01000836,0.05992944]	[1.21606987,0.41528636,0.0328596 ]	0.002720492902358214	0.2536551852756383	0.005687775736981979
2015-09-20T01:47:39.845000	[6223.27992352]	[0.00178153]	[0.06878613]	[-1.69588602]	0.0007101203843376097	0.1619789682659218	0.0009253286873541155
2015-09-20T01:47:39.845000	[6594.3]	[0.1]	[0.1]	[2.]	0.0014153820388721602	0.23548200450309495	0.0
2015-09-20T01:47:39.845000	[6329.85425264,6330.01970122,6329.6290173 ]	[0.01832362,0.00338577,0.02216019]	[0.05268618,0.02756511,0.07072874]	[-0.08186785, 0.00111598,-0.06618344]	0.0010963715908689526	0.16655344476263442	0.00909919950296973
2015-09-20T01:47:39.845000	[5793.10742401,5793.35617058,5793.01704565]	[1.59687296e-02,5.06012310e-03,1.43607251e-05]	[0.11329778,0.05507587,0.10543407]	[ 0.24496326,-0.47071913, 6.4418704 ]	0.0009207138269687283	0.2667958842078593	0.009104691048842888
2015-09-20T01:47:39.845000	[5910.44247211,5910.32802884,5910.60271204]	[0.02075822,0.00433046,0.00605248]	[0.03868579,0.04334812,0.07341345]	[1.98637146,2.47078646,1.33281626]	0.008627695102723501	0.17287547493513072	0.013187455077719602
2015-09-20T01:47:39.845000	[6195.60876422,6195.77876885,6195.92086984]	[0.05503106,0.08277086,0.05232443]	[0.06772844,0.05368772,0.05949889]	[-0.35845327, 0.11253838, 0.41391947]	0.0008860855770213478	0.15948829508587106	0.04106616733056616
2015-09-20T01:47:39.845000	[6598.5       ,6597.09236894]	[0.40412173,0.01269033]	[0.12534583,0.09284973]	[-17.1234211 ,  0.18966327]	0.0009821087719990604	0.2951668667597375	0.003983422987352907
2015-09-20T01:47:39.845000	[6211.52334664,6211.34844538,6211.67468566]	[0.00522272,0.0112241 ,0.01249261]	[0.02476127,0.08134953,0.06836825]	[ 0.19902423,-0.54399971, 0.22452232]	0.000973976976386236	0.19156350494479585	0.007130655314564992
2015-09-20T01:47:39.845000	[5797.2925826 ,5796.88145986,5797.18083975]	[1.64384661e-17,6.18048183e-02,9.81209293e-02]	[0.15616843,0.07728575,0.22868191]	[30.8016072 ,-0.71815677, 0.42600583]	0.0027668325651262794	0.5385047461959254	0.15889960016490612
2015-09-20T01:47:39.845000	[6014.76577412,6014.72486015,6015.41584558]	[7.94499065e-01,9.21854224e-06,9.07935718e-02]	[0.00449222,0.02575438,0.09443438]	[ -2.24840762,  6.68023811,-17.60172401]	0.0009192603532701026	0.22237597838307624	0.0003181134027392198
2015-09-20T01:47:39.845000	[5958.92893469]	[0.009121]	[0.017622]	[-0.16405869]	0.0010619452933583213	0.04149663722111038	0.0005645808306421706
2015-09-20T01:47:39.845000	[6397.153617  ,6396.69250929,6396.34883356]	[0.00690368,0.01839867,0.02722621]	[0.04603645,0.13922382,0.06998606]	[0.17463707,0.20888257,0.0495481 ]	0.00152038978550502	0.32784703182200753	0.01675287875430687
2015-09-20T01:47:39.845000	[6367.15990637,6367.27529341,6366.97933227]	[0.00070301,0.02096315,0.03001061]	[0.02801845,0.07515156,0.08604695]	[ 2.3611521 , 0.47704093,-0.40444798]	0.0008225167107539282	0.20262509425659975	0.01567813925551707
2015-09-20T01:47:39.845000	[6445.23330082,6445.17541605,6445.4023171 ]	[0.01326821,0.00288741,0.00825672]	[0.14067702,0.01153457,0.08651748]	[ 1.96512276,-0.25119919,-1.06335228]	0.0020442596262999794	0.3312690744756074	0.0216402153114541
2015-09-20T01:47:39.845000	[6384.80421375,6385.41375306,6384.59406056]	[0.00743341,0.00032219,0.00394174]	[0.06421978,0.0008483 ,0.05396592]	[ 0.19059603,-3.48957927,-0.02229342]	0.00078561874076157	0.15122603178391805	0.002396427402047372
2015-09-20T01:47:39.845000	[5974.7       ,5975.49727223,5975.69033869]	[0.01724531,0.02476701,0.00785687]	[11.90419292, 0.06028897, 0.02767185]	[-0.50997685,-0.5383947 , 0.46034262]	0.019481688489904954	28.03223211170034	0.758238850076405
2015-09-20T01:47:39.845000	[5815.65105104,5815.82089958,5815.36408297]	[0.00321396,0.00432869,0.00593475]	[0.04981724,0.01227577,0.10799746]	[-0.09033442,-0.41148685,-0.62273011]	0.0005792220953679706	0.2543145917390034	0.0032922975322939845
2015-09-20T01:47:39.845000	[5840.41283141,5840.7119518 ]	[0.01728935,0.0054526 ]	[0.07388197,0.07867183]	[-0.37639131, 0.76788555]	0.0010552775009968888	0.18525801380902257	0.006464850230316802
